Suburb,Postcode,HouseMedian$,UpdatedYr,UpdateMonth,,,
Cammeray,2062,1050000,2016,6,,,2062
Campbelltown,2560,545000,2016,6,,,2560
Campsie,2194,700000,2016,6,,,2194
Campvale,2318,449000,2016,6,,,2318
Cams Wharf,2281,491000,2016,6,,,2281
Canada Bay,2046,1006000,2016,6,,,2046
Canley Heights,2166,700000,2016,6,,,2166
Canley Vale,2166,700000,2016,6,,,2166
Canterbury,2193,700000,2016,6,,,2193
Canton Beach,2263,480000,2016,6,,,2263
Cardiff Heights,2285,491000,2016,6,,,2285
Cardiff South,2285,491000,2016,6,,,2285
Careel Bay,2107,1391000,2016,6,,,2107
Careel Head,#N/A,1391000,2016,6,,,#N/A
Carey Bay,2283,491000,2016,6,,,2283
Caringbah,2229,900000,2016,6,,,1495
Caringbah South,2229,900000,2016,6,,,#N/A
Carlingford,2118,720000,2016,6,,,2118
Carnes Hill,2171,695000,2016,6,,,#N/A
Carramar,2163,700000,2016,6,,,2163
Carrington,2294,491000,2016,6,,,2294
Carrington Falls,2577,688000,2016,6,,,2577
Carss Park,2221,880000,2016,6,,,2221
Cartwright,2168,695000,2016,6,,,2168
Castle Cove,1858,1486000,2016,6,,,2069
Castle Hill,2154,1089000,2016,6,,,1765
Castlecrag,2068,1486000,2016,6,,,2068
Castlereagh,2749,589000,2016,6,,,2749
Casula,2170,695000,2016,6,,,2170
Cataract Dam,2560,680000,2016,6,,,#N/A
Catherine Field,2557,700000,2016,6,,,2557
Cecil Hills,2171,695000,2016,6,,,2171
Cedar Brush,2259,480000,2016,6,,,#N/A
Centennial Park,2021,1100000,2016,6,,,#N/A
Central Colo,2756,635000,2016,6,,,2756
Central Macdonald,2775,635000,2016,6,,,2775
Chain Valley Bay,2259,480000,2016,6,,,2259
Charmhaven,2263,480000,2016,6,,,2263
Chatham Valley,2787,578000,2016,6,,,2787
Chatswood,1876,1486000,2016,6,,,2057
Cheero Point,2083,600000,2016,6,,,2083
Chifley,2036,1100000,2016,6,,,2036
Chippendale,2008,930000,2016,6,,,2008
Chipping Norton,2170,695000,2016,6,,,2170
Chiswick,2046,1006000,2016,6,,,2046
Chittaway Bay,2261,480000,2016,6,,,2261
Chittaway Point,2261,480000,2016,6,,,2261
Chullora,2190,820000,2016,6,,,2190
Church Point,2105,1391000,2016,6,,,2105
Claremont Meadows,2747,589000,2016,6,,,2747
Clarence Town,2321,417000,2016,6,,,2321
Clarendon,2756,635000,2016,6,,,2756
Clareville,2107,1391000,2016,6,,,2107
Clareville Beach,#N/A,1391000,2016,6,,,#N/A
Claymore,2559,545000,2016,6,,,2559
