State,Suburb,Postcode,HouseMedian$,UpdatedYr,UpdateMonth,,,VLOOKUP POSTCODE
NSW,Dawes Point,2000,930000,2016,6,,,2000
NSW,Dean Park,2761,632000,2016,6,,,2761
NSW,Dee Why,2099,1035000,2016,6,,,2099
NSW,Denistone,2114,1020000,2016,6,,,2114
NSW,Denistone East,2112,1020000,2016,6,,,2112
NSW,Denistone West,2114,1020000,2016,6,,,2114
NSW,Dharruk,2770,632000,2016,6,,,2770
NSW,Dobroyd Point,#N/A,825000,2016,6,,,#N/A
NSW,Dolans Bay,2229,900000,2016,6,,,2229
NSW,Dolls Point,2219,760000,2016,6,,,2219
NSW,Dombarton,2526,595000,2016,6,,,2526
NSW,Doonside,2767,632000,2016,6,,,2767
NSW,Dooralong,2259,480000,2016,6,,,2259
NSW,Double Bay,2028,1709000,2016,6,,,1360
NSW,Douglas Park,2569,680000,2016,6,,,2569
NSW,Dover Heights,2030,1200000,2016,6,,,2030
NSW,Doyalson,2262,480000,2016,6,,,2262
NSW,Drummoyne,2047,1006000,2016,6,,,1470
NSW,Duckenfield,2321,417000,2016,6,,,2321
NSW,Duckmaloi,2787,578000,2016,6,,,2787
NSW,Dudley,2290,491000,2016,6,,,2290
NSW,Duffys Forest,2084,1035000,2016,6,,,2084
NSW,Dulwich Hill,2203,985000,2016,6,,,2203
NSW,Dundas,2117,720000,2016,6,,,2117
NSW,Dundas Valley,2117,720000,2016,6,,,2117
NSW,Dural,2158,1089000,2016,6,,,2158
NSW,Eagle Vale,2558,545000,2016,6,,,2558
NSW,Eagleton,2324,449000,2016,6,,,2324
NSW,Earlwood,2206,700000,2016,6,,,2206
NSW,East Corrimal,2518,595000,2016,6,,,2518
NSW,East Gordon,#N/A,1600000,2016,6,,,#N/A
NSW,East Gosford,2250,600000,2016,6,,,2250
NSW,East Hills,2213,820000,2016,6,,,2213
NSW,East Killara,2071,1600000,2016,6,,,2071
NSW,East Lindfield,2070,1600000,2016,6,,,2070
NSW,East Maitland,2323,417000,2016,6,,,2323
NSW,East Roseville,2069,1600000,2016,6,,,#N/A
NSW,East Ryde,2113,1020000,2016,6,,,2113
NSW,East Seaham,2324,449000,2016,6,,,2324
NSW,East Willoughby,2068,1486000,2016,6,,,#N/A
NSW,Eastern Creek,2766,632000,2016,6,,,2766
NSW,Eastgardens,2036,861000,2016,6,,,2036
NSW,Eastlakes,2018,861000,2016,6,,,2018
NSW,Eastwood,2122,720000,2016,6,,,2122
NSW,Ebenezer,2756,635000,2016,6,,,2756
NSW,Edensor Park,2176,700000,2016,6,,,2176
NSW,Edgecliff,2027,1709000,2016,6,,,2027
NSW,Edgeworth,2285,491000,2016,6,,,2285
NSW,Edith,2787,578000,2016,6,,,2787
NSW,Edmondson Park,2174,695000,2016,6,,,#N/A
NSW,Elanora Heights,2101,1391000,2016,6,,,2101
NSW,Eleebana,2282,491000,2016,6,,,2282
NSW,Elermore Vale,2287,491000,2016,6,,,2287
NSW,Elizabeth Bay,2011,930000,2016,6,,,2011
NSW,Ellalong,2325,316000,2016,6,,,2325
NSW,Elvina Bay,2105,1391000,2016,6,,,2105
NSW,Emerton,2770,632000,2016,6,,,2770
NSW,Empire Bay,2257,600000,2016,6,,,2257
NSW,Emu Heights,2750,589000,2016,6,,,2750
NSW,Emu Plains,2750,589000,2016,6,,,2750
NSW,Enfield,2136,878000,2016,6,,,2136
NSW,Enfield South,2133,878000,2016,6,,,2133
NSW,Engadine,2233,900000,2016,6,,,2233
NSW,Englorie Park,2560,545000,2016,6,,,2560
NSW,Enmore,2042,985000,2016,6,,,2042
NSW,Epping,2121,720000,2016,6,,,1710
NSW,Erina,2250,600000,2016,6,,,2250
NSW,Erina Heights,2260,600000,2016,6,,,2260
NSW,Ermington,2115,720000,2016,6,,,1700
NSW,Erskine Park,2759,589000,2016,6,,,2759
NSW,Erskineville,2043,930000,2016,6,,,2043
NSW,Eschol Park,2558,545000,2016,6,,,2558
NSW,Ettalong Beach,2257,600000,2016,6,,,2257
NSW,Eveleigh,2015,930000,2016,6,,,1430
NSW,Fairfield,1807,708000,2016,6,,,1860
NSW,Fairfield,2165,700000,2016,6,,,1860
NSW,Fairfield East,2165,700000,2016,6,,,2165
NSW,Fairfield Heights,2165,700000,2016,6,,,2165
NSW,Fairfield West,2165,700000,2016,6,,,2165
NSW,Fairlight,2094,1673000,2016,6,,,2094
NSW,Fairy Meadow,2519,595000,2016,6,,,2519
NSW,Farley,2320,417000,2016,6,,,2320
NSW,Farmborough Heights,2526,595000,2016,6,,,2526
NSW,Fassifern,2283,491000,2016,6,,,2283
